N,Naučni naziv vrste,Srpski naziv vrste,Sinonimi,Porodica,Ilustracije,Ilustracije zenke,Silueta,Staniste,Boje,Boje zenke,Glavni tekst,,Dužina tela (cm),Raspon krila (cm),Masa (g),Ishrana,Gnezdarica/Negnezdarica,,Ugrožena (DA/NE)
105,Eremophila alpestris,Ušata ševa,,ševe (Alaudidae),planinska_usata_seva,,Ptice pevacice,"travnjaci; kamenjari, litice i odseci",crna; zuta; siva; bela,,"Upečatljiva ševa, prepoznatljiva po crnim i žutim šarama po licu i crnim uzdignutim perima na glavi, poput ""rogova"". Naseljava visokoplaninske goleti i livade iznad šumske granice. Najčešće se oglašava u letu. Retka je i malobrojna gnezdarica Srbije. Van gnezdeće sezone može se sresti na nižim nadmorskim visinama, često duž puteva u potrazi za hranom. ",354,14-17,30-35,35-45,insekti i zrnevlje,Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,DA
206,Podiceps auritus,Ušati gnjurac,,gnjurci (Podicipedidae),usati_gnjurac,,Patkolike ptice,vodena stanista,crna; bela,,"Izuzetno redak posetilac Srbije i to van perioda gnežđenja, na različitim, većim vodenim površinama. Potrebno je iskustvo za razlikovanje od uobičajenog, crnovratog gnjurca. U zimskom ruhu to su detalji na glavi, kljunu i vratu, dok ga u gnezdećem perju odaju duge zlatnožute ""uši"" i spreda riđ vrat.",300,31-38,59-65,360-450,"riba, larve insekata",Ne gnezdi se u Srbiji.,Sreće se na lutanju.,NE
35,Asio otus,Utina,Mala ušara,prave sove (Strigidae),utina,,Sove,sikare i zbunjaci; njive; mesovita stanista; naselja,crna; braon; bez; siva; bela,,"Ako ne najčešća onda sigurno najpoznatija vrsta sove. Zimi se u naseljima okuplja u jata koja broje i više stotina jedinki. Naseljava sve vrste otvorenih i poluotvorenih staništa posebno u ravnici u pobrđu. Gnezda ne gradi, već jaja polaže u stara gnezda svraka, sivih vrana i drugih krupnijih ptica. Tokom maja, juna i jula često se čuje pištavo oglašavanje mladunaca koji traže hranu. Posebno korisna vrsta koja se hrani glodarima.",433,35-37,84-95,210-370,sitni glodari i male ptice,Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
241,Tadorna ferruginea,Utva zlatokrila,,plovke (Anatidae),utva_zlatokrila,,Patkolike ptice,vodena stanista,crna; braon; bez; bela; zelena,,"Po veličini i boji ne možete je zameniti sa nekom drugom pticom. Većina zlatokrilih utvi posmatranih kod nas najverovatnije potiču iz zatočeništva. Posmatrana je svega desetak puta, van gnezdećeg perioda, na ribnjacima i drugim vodenim staništima.",247,58-70,110-135,1000-1600,"trava i drugo rastinje, beskičimenjaci",Ne gnezdi se u Srbiji.,Posmatrana na zimovanju i lutanju.,NE
218,Regulus ignicapilla,Vatroglavi kraljić,,kraljići (Reguliidae),vatroglavi_kraljic,,Ptice pevacice,sume; sikare i zbunjaci,zuta; siva; zelena; bela; crna,,"Kraljići su najmanje ptice Evrope. Vatroglavi kraljić je dobio ime po jarkonarandžastoj kresti, koja je kod običnog kraljića žuta. Najlakše ga razlikujemo po pesmi i crnoj pruzi preko oka. Nastanjuje mešovite i četinarske šume na planinama. Zimi se može videti i unutar zelenih površina u naseljima, posebno onih bogatih sađenim četinarima. Nije plašljiv.",355,9,14,6,sitni insekti i paukovi,Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
59,Ardea alba,Velika bela čaplja,,čaplje (Ardeidae),velika_bela_caplja,,Capljolike ptice,travnjaci; njive; vodena stanista,bela,,"Uz sivu čaplju, najkrupnija vrsta čaplje u Srbiji. Nastanjuje uglavnom ravničarska vodena staništa poput ribnjaka i bara. Gnezđenje počinje početkom proleća. Gnezdo je smešteno na drvetu ili u trsci, uvek u neposrednoj blizini vode. Viđa se često i van močvarnih staništa, posebno u jesenjem i zimskom periodu pojedinačno ili u manjim grupama sa sivim čapljama.",361,80-104,140-170,700-1700,"ribe, insekti, žabe",Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,NE
166,Numenius arquata,Velika carska šljuka,,šljukarice (Scolopacidae),velika_carska_sljuka,,Sljukarice i barske koke,travnjaci; vodena stanista,crna; bez; siva; bela; braon,,"Srećemo je na vlažnim livadama, slatinama i poljoprivrednim površinama u okolini bara i drugih izvora vode tokom seobe u jatima različite veličine. Prepoznatljiva je po dugim nogama i izuzetno dugom kljunu povijenom na dole, koji koriste za vađenje glista i crva iz blata i mulja. U letu je prepoznatljiva po belom nadrepku i beloj šari na leđima, kao i crnim vrhovima krila. ",376,48-57,89-106,575-1000,"gliste, školjke, vodeni račići",Ne gnezdi se u Srbiji.,"Redovna na seobi, sporadično i zimuje.",NE
228,Hydroprogne caspia,Velika čigra,,galebovi (Laridae),velika_cigra,,Galebovi i cigre,vodena stanista,crna; siva; bela,,"Krupna čigra, niskog čela i masivnog crvenog kljuna, sa crnim vrhom. Naučni naziv roda u prevodu znači ""vodena lasta"". Rasprostranjena je širom sveta, a u Srbiji se javlja uglavnom na seobi, na velikim rekama, ribnjacima i jezerima. ",233,48-56,127-140,570-780,riba,Ne gnezdi se u Srbiji.,Sporadičan gost na seobi i lutanju.,DA
171,Otis tarda,Velika droplja,,droplje (Otididae),velika_droplja_m; velika_droplja_z,,Kokosi i droplje,travnjaci; njive,crna; braon; siva; bela,,"Jedna od najkrupnijih ptica sa kojom se možete sresti u Srbiji. Izuzetno je retka i preostalo je svega nekoliko jedinki na ostacima nekadašnjih stepa u Vojvodini. Pored ovih prirodnih travnatih površina mogu se sresti i na oranicama u potrazi za hranom. Veoma su upečatljive zbog svoje veličine, naročito odrasli mužjaci sa svojim ritualima udvaranja. Tokom cele godine udružene su u manja jata i grupe. ",404,75-105,170-240,3500-16000,"semenje, biljke, insekti",Gnezdarica (15 jedinki).,Prisutna tokom cele godine.,DA
179,Parus major,Velika senica,,senice (Paridae),velika_senica,,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,crna; zuta; zelena; siva; bela; plava,,"Jedna od prvih senica koju ćete sresti u zelenim zonama naselja, i drugde širom Srbije - gdegod ima drveća i žbunja. Prepoznatljiva po prodornom oglašavanju i crnoj pruzi duž jarkožutog stomaka. Pored prirodnih duplji, gnezdi se i u poštanskim sandučićima, banderama, klima uređajima. Čest gost na hranilicama. Uvek dobrodošla u voćnjacima gde lovi gusenice i druge prenamnožene insekte.",387,"13,5-15",24,18,"insekti, semenje",Gnezdarica (oko milion parova).,Prisutna tokom cele godine.,NE
152,Melanocorypha calandra,Velika ševa,,ševe (Alaudidae),velika_seva,,Ptice pevacice,travnjaci; njive; mesovita stanista,siva; bela; crna,,"Najkrupnija vrsta iz porodice ševa kod nas. Retka i malobrojna gnezdarica Srbije sa kojom se možete sresti u mozaičnim poljoprivrednim i prirodnim travnatim staništima. Prepoznatljiva je po crnim mrljama u osnovi vrata, masivnom kljunu, izraženim belim očnim prugama (supercilije) i donjim ivicama krila. Kao i većina ševa, pesmu izvodi uglavnom u visokom letu uz veoma raznovrsno i melodično oglašavanje. ",406,17-20,37-40,49-70,"insekti, zrnevlje  ",Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,NE
98,Miliaria calandra,Velika strnadica,,strnadice (Emberizidae),velika_strnadica,,Ptice pevacice,travnjaci; mesovita stanista,braon; bez; siva,,"Najkrupnija strnadica kod nas, jednostavne obojenosti koja podseća na ženku vrapca pokućara. Naseljava livade, pašnjake, parloge i ponekad rubove njiva. Voli da se pokazuje stojeći na vrhu kakvog žbuna ili korova, sa kog proizvodi karakterističnu pesmu nalik zveckanju novčića. Gnezdi se na tlu od aprila do jula. Pokazatelj je očuvanosti mozaičnih i kulturnih predela.",369,17-19,26-32,32-67,"semenje, insekti",Gnezdarica (do 100 hiljada parova).,"Redovna i na seobi, zimuje u malom broju.",NE
92,Dendrocopos major,Veliki detlić,,detlići (Picidae),veliki_detlic_m; veliki_detlic_z,,Detlici,sume; mesovita stanista; naselja,crna; crvena; bela,,"Najbrojnija vrsta detlića u našim šumama. Naseljava sve vrste šumskih ekosistema na svim nadmorskim visinama. Nešto ređi je na mozaičnim staništima. Gnezdi se u dupljama u drveću koje sam dubi. Od najsličnijeg seoskog detlića odrasle razlikujemo po celoj crnoj ""ogrlici"". Mužjaci su prepoznatljivi i po jarkocrvenom podrepku. Zimi se pojedinačni primerci mogu primetiti na hranilicama.",385,22-23,34-39,70-98,"insekti, semenje, orašice",Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
88,Cygnus cygnus,Veliki labud,,plovke (Anatidae),veliki_labud,,Patkolike ptice,vodena stanista,bela,,"Najveći labud na svetu. Gnezdi se na području severne Evrope i Azije, dok je kod nas veoma redak, ali redovan zimski gost. Uz masivno telo, žut kljun je glavni karakter za raspoznavanje ove vrste. Kod nas se sreće na rekama, ribnjacima i drugim većim vodenim površinama. Za razliku od labuda grpca uglavnom izbegava naselja i blizinu ljudi.",340,140-160,200-235,9000-11000,"vodeno rastinje, trava, semenje",Ne gnezdi se u Srbiji.,"Redak, na zimovanju i lutanju.",NE
154,Mergus merganser,Veliki ronac,,plovke (Anatidae),veliki_ronac_m; veliki_ronac_z,veliki_ronac_z; veliki_ronac_m,Patkolike ptice,"kamenjari, litice i odseci; vodena stanista",siva; bela; crna,braon; bela; siva,"Veoma retka i malobrojna gnezdarica na rekama i akumulacijama brdsko-planinskih predela Srbije. Tokom zime se može sresti pojedinačno ili u manjim grupa na vodenim površinama širom zemlje. Mužjaci su prepoznatljivi po tamnozelenoj glavi i relativno dugom, tankom, nazubljenom crvenom kljunu koji je na kraju zakrivljen nadole u malu kuku. Od ređeg, srednjeg ronca razlikujemo ih po čistobelim grudima.",401,58-66,82-97,900-2100,riba,Gnezdarica (manje od 100 parova).,Prisutna tokom cele godine.,DA
137,Lanius excubitor,Veliki svračak,,svračci (Laniidae),veliki_svracak,,Ptice pevacice,travnjaci; njive; mesovita stanista,crna; siva; bela,,"Najkrupnija vrsta iz porodice svračaka u Evropi. U Srbiji se može videti u malom broju tokom zimskih meseci, širom zemlje. Leđa su siva sa crnim repom i krilima, na kojima se razlikuju mala bela polja koja ne prekrivaju sva primarna letna pera krila, dok je trbušna strana bela. Ima izraženu crnu masku na glavi. ",313,22-26,30-36,48-81,"insekti, sitni sisari i ptice",Ne gnezdi se u Srbiji.,Redovan na zimovanju i seobi.,NE
243,Tetrao urogallus,Veliki tetreb,,fazani (Phasianidae),veliki_tetreb_m; veliki_tetreb_z,veliki_tetreb_z; veliki_tetreb_m,Kokosi i droplje,"sume; kamenjari, litice i odseci",braon; crvena; crna; bela,braon; crna; bela; bez,"Jedna od najvećih koka Evrope, čiji mužjaci su znatno krupniji od ženki. Oglašavaju se karakterističnim klokotanjem. Svega nekoliko šumovitih vrhova planina u Srbiji čuva njihova poslednja pevališta. Ugrožen je uništavanjem staništa, uznemiravanjem, ilegalnim lovom i sl.",271,60-87,87-125,1500-5000,"bobice, izdanci",Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,DA
3,Acrocephalus arundinaceus,Veliki trstenjak,,grmuše (Sylviidae),veliki_trstenjak,,Ptice pevacice,vodena stanista,bela; bez; braon,,"Jedna od najglasnijih pevačica naših bara, ribnjaka i kanala. Nešto je manji i vitkiji od kosa, a prepoznatljiv je i po kratkoj, ali bučnoj ""kara-ki-ki"" pesmi. Letnji je gost naših krajeva, a stanovnik je svih većih tršćaka. Gnezda svija oko stabljika trske gotovo po pravilu nad vodom. Redak je na prostoru centralne Srbije i jedna je od najčešćih pevačica na kojoj parazitira obična kukavica.",394,16-21,25-30,22-38,"insekti, paukovi, bobice",Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
189,Phalacrocorax carbo,Veliki vranac,,vranci (Phalacrocoracidae),veliki_vranac,,Capljolike ptice; Patkolike ptice,vodena stanista,crna; zuta; bela,,"Naseljava veće akumulacije, ribnjake i velike ravničarske reke. Gnezdi se kolonijalno na drveću u priobalju. Malobrojna je gnezdarica Srbije, a u znatno većem broju se može videti tokom zime, gotovo na svim većim akumulacijama i rekama. Odrasle ptice su crne sa belim vratom. U periodu gnežđenja imaju izražene bele mrlje na bokovima. Kljun se na kraju završava oštrom kukom prilagođenom za hvatanje ribe. ",406,77-94,121-149,2100-2500,riba,Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
111,Falco tinnunculus,Vetruška,,pravi sokolovi (Falconidae),vetruska_m; vetruska_z,vetruska_z; vetruska_m,Dnevne grabljivice,"travnjaci; njive; mesovita stanista; kamenjari, litice i odseci; naselja",crna; bez; braon; siva,,"Najbrojnija vrsta sokola u Srbiji. Naseljava i gnezdi se u raznolikim staništima, od klisura i litica planinskih krajeva, pa do zgrada i drveća u naseljima i poljoprivrednim područjima. Prepoznatljiva po svetlobraon obojenim leđima i crnim obodima krila. Mužjaci se razlikuju od ženki po sivo obojenoj glavi. Prilikom potrage za plenom karakteristično lebdi u jednoj tački.",373,32-35,71-80,156-252,"glodari, insekti, gušteri",Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
135,Jynx torquilla,Vijoglava,,detlići (Picidae),vijoglava,,Detlici,sikare i zbunjaci; mesovita stanista; naselja,bez; siva; braon; bela,,"Sreće se najčešće u mozaičnim staništima sa voćnjacima, zabranima i pašnjacima i na obradivim površinama. Za razliku od većine ptica iz porodice detlića, vijoglava je selica i ne dubi sopstvene duplje već se gnezdi u postojećim. Telo je sivkasto sa braon i crnim šarama, a prepoznatljiva je i po izraženoj tamnoj pruzi koja se spušta od glave duž leđa. Oglašavanje je upečatljivo i sastoji se od kratkih i glasnih zvižduka.",423,16-18,25-27,30-45,mravi,Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
102,Emberiza hortulana,Vinogradska strnadica,,strnadice (Emberizidae),vinogradska_strnadica_m; vinogradska_strnadica_z,vinogradska_strnadica_z; vinogradska_strnadica_m,Ptice pevacice,sikare i zbunjaci; travnjaci; mesovita stanista,crna; zuta; braon; siva,,"Po mnogim ornitolozima, najlepša vrsta strnadice. Stanovnik je kultivisanih i mozaičnih staništa nizije i pobrđa. Retka je u visokoplaninskom pojasu. Gnezdi se na tlu pa je ženka kamuflažno obojena. Zimu provodi i podsaharskoj Africi. Prisutna od maja do septembra. Nije plašljiva i rado stoji na vrhovima drveća i žbunja gde mužjak pesmom obeležava teritoriju. Ugrožena inteziviranjem poljoprivredne proizvodnje i promenom namene zemljišta.",441,16-17,23-29,17-28,"semenje, insekti",Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
259,Vanellus vanellus,Vivak,,žalari (Charadriidae),vivak,,Sljukarice i barske koke,travnjaci; njive; vodena stanista,crna; zelena; narandzasta; bela; crvena; plava,,"Glasanje nalik dečijoj igrački u vijugavom letu nedvosmisleno upućuju na vivka. Crno-belo telo prelivajućih boja perja i visoka ćuba na glavi ističu ga na otvorenim, vlažnim terenima koje naseljava, poput poplavljenih njiva i pašnjaka. Rasprotranjen je mahom u Vojvodini i uglavnom je selica.",292,28-31,82-87,140-320,"crvi, insekti",Gnezdarica (do 10 hiljada parova).,"Redovna na seobi, zimuje u malom broju.",NE
130,Himantopus himantopus,Vlastelica,,sabljarke (Recurvirostridae),vlastelica,,Sljukarice i barske koke,travnjaci; vodena stanista,crna; bela,,"Upečatljiva ptica sa veoma dugim, crvenim nogama i izuzetno tankim i dugim kljunom u odnosu na telo. Vlastelica je gotovo u celosti bela, izuzev crnih krila. Naseljava plitka slana i slatka jezera i bare Vojvodine. Pored prirodnih staništa gnezdi se često i na taložnicima i otpadnim vodama šećerana. Veoma bučna tokom gnezdećeg perioda sa kratkim piskavim oglašavanjem. ",371,35-40,67-83,166-205,"insekti, zglavkari",Gnezdarica (manje od hiljadu parova).,Redovna i na seobi.,NE
43,Botaurus stellaris,Vodeni bik,,čaplje (Ardeidae),vodeni_bik,,Capljolike ptice,vodena stanista,crna; bez; braon,,"Skrovita i malobrojna vrsta čaplje. Naseljava prostrane tršćake ravničarskih delova Srbije. Usled kamuflažne boje perja koja liči na trsku vrlo retko se uočava. Mužjak u proleće proizvodi zvuk koji podseća na rikanje, po kom je i dobio naziv. Gnezdi se u pojedinačnim parovima u gustoj trsci. Zimi se da osmotriti i na kanalima i slatinama.",340,64-80,125-135,650-2050,riba,Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,NE
71,Cinclus cinclus,Vodenkos,,vodenkosi (Cinclidae),vodenkos,,Ptice pevacice; Sljukarice i barske koke,vodena stanista,braon; bela; crna,,"Stanovnik bistrih planinskih potoka i rečica kamenitih obala. Lako prepoznatljiv po beloj portikli i tamnom ostatku tela. Jedina naša ptica pevačica koja ne samo da ume da pliva, nego i da roni. Gnezdi se u potkapinama i rupama u stenama tik uz obalu vodotoka praveći loptasto gnezdo od mahovine. Godinama se parovi sreću na istim teritorijama.",344,18,25-30,55-75,vodeni insekti i rakovi,Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
10,Alcedo atthis,Vodomar,,vodomari (Alcenididae),vodomar,,Ptice pevacice,vodena stanista,plava; narandzasta; bela,,Vešt ribolovac tirkiznog pokrova. Naseljava vodena staništa bogata plićacima pogodnim za hvatanje sitne ribe. Gnezdi se u rupama u zemlji na vertikalnim odsecima i obalama reka i jezera. Let je brz i energičan često tik iznad vode. Zimu provodi uz plitku i nezaleđenu vodu. Prilikom poletanja često se prodorno piskavo oglašava.,328,16-17,24-26,34-46,ribe i vodeni insekti,Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
182,Passer domesticus,Vrabac pokućar,,vrapci (Passeridae),vrabac_pokucar_m; vrabac_pokucar_z,vrabac_pokucar_z; vrabac_pokucar_m,Ptice pevacice,njive; mesovita stanista; naselja,crna; siva; braon; bela,siva; braon; crna; bez,"Jedna od najpoznatijih pevačica u svetu. Gnezdi se u blizini čoveka, a najčešće ispod crepova krovova u manjim grupama. Socijalna je i obrazuje i veće grupe i jata, naročito tokom jeseni i zime kada posećuje i hranilice. Odrasli mužjaci su prepoznatljivi po tamnosivoj kapi, sivim obrazima i braon leđima. Urbanizacija i nestanak zelenih površina i žbunja najverovatnije dovode do opadanja broja vrabaca pokućara u mnogim delovima Evrope.",438,14-16,"21-25,5",24-38,"semenje, insekti",Gnezdarica (preko milion parova).,Prisutna tokom cele godine.,NE
170,Oriolus oriolus,Vuga,,vuge (Oriolidae),vuga_m; vuga_z,vuga_z; vuga_m,Vranolike ptice,sume; sikare i zbunjaci; mesovita stanista; naselja; vodena stanista,crna; zuta,crna; zuta; zelena,"Česta je po listopadnim šumama, mozaičnim poljoprivrednim predelima sa zabranima i drvoredima. Vuge ipak retko viđamo, visoko u krošnjama drveća gde se gnezde i obitavaju. Teritorijalni, jarkožuti mužjaci obično odaju svoje prisustvo samo melodičnim i prodornim zviždukom, a ponekad i jurnjavom sa drugim mužjacima. Selica su i zimu provode u Africi.",350,22-25,44-47,56-79,insekti i bobice,Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
64,Charadrius hiaticula,Žalar blatarić,,žalari (Charadriidae),zalar_blataric,,Sljukarice i barske koke,vodena stanista,crna; siva; bela,,"Malobrojna vrsta na seobi. Gnezdi se u tundri. Radije bira obale mora i stoga se ređe viđa na vodenim staništima unutar kopna. Hrani se u mulju i plitkoj vodi. Zajedno sa još ređim, morskim žalarom, nije ga lako razlikovati od žalara slepića sa veće udaljenosti.",262,18-20,48-57,55-75,"muve, paukovi, crvi, rakovi, mekušci",Ne gnezdi se u Srbiji.,Posmatran na seobi.,DA
63,Charadrius dubius,Žalar slepić,,žalari (Charadriidae),zalar_slepic,,Sljukarice i barske koke,vodena stanista,crna; siva; bela,,"Pažljivo osmatrajte peskovite i šljunkovite obale reka, jezera i drugih voda da biste uočili ove sitne šljukarice. Kao i druge žalare, prepoznaćete ga po brzom i isprekidanom hodu duž plićaka, sprudova i ostrva na kojima se gnezdi i hrani. Moguće ga je sresti na gotovo svim rečnim tokovima u Srbiji.",300,14-15,42-48,32-48,"insekti, vodeni beskičmenjaci",Gnezdarica (oko hiljadu parova).,Redovna i na seobi.,NE
126,Grus grus,Ždral,,ždralovi (Gruidae),zdral,,Capljolike ptice,travnjaci; njive; vodena stanista,crna; crvena; siva; bela,,"Upečatljiva krupna ptica, dugih krila, vrata i nogu. U Srbiji se može sresti tokom seobe i zimskih meseci, kada se okuplja u velikim jatima oko slatinskih jezera i bara, na njivama i livadama gde ima dostupne hrane. Odrasle ptice imaju upečatljivo crn vrat i crveno polje na čelu. Oglašavaju se kratko i glasno i često se mogu čuti jata u preletu na velikim visinama tokom noći. ",379,110-120,220-245,4000-7000,"zrnevlje, korenje, insekte, puževe i gliste",Nekada se gnezdio i u Srbiji.,"U savremeno doba samo na seobi, ređe i na zimovanju.",NE
116,Fringilla coelebs,Zeba,,zebe (Fringillidae),zeba_m; zeba_z,zeba_z; zeba_m,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,crvena; crna; siva; braon; bela; narandzasta,siva; bela; zuta; braon,"Jedna od najčešćih i najbrojnijih pevačica u Srbiji. Srešćete je u svim tipovima šuma, parkovima i drugde - gde god ima drveća. Mužjaci su lako prepoznatljivi po glasnom oglašavanju, sivoplavoj glavi i crvenkastim grudima i stomaku. Gnezda najčešće svija u rašljama grana i kamuflira ih mahovinama i lišajevima. Često je možete videti kako šeta po tlu u potrazi za hranom. Tokom jeseni i zime okuplja se u manja jata.",417,"14,5","24,5-28,5",18-29,zrnevlje i insekti,Gnezdarica (preko milion parova).,Prisutna tokom cele godine.,NE
201,Picus viridis,Zelena žuna,,detlići (Picidae),zelena_zuna,,Detlici,sume; sikare i zbunjaci; mesovita stanista; naselja,bez; crna; crvena; zuta; siva; zelena,,"Maslinasto zelena boja leđa i crveno teme su glavne karakteristike ove žune. Naseljava mozaična staništa bogata zabranima. Česta je u blizini ljudskih naselja. Bučno se oglašava, a nešto ređe dobuje. Često se viđa na tlu kako iskopava mravinjake u potrazi za larvama. Gnezdi se u rupi u drvetu koju sama dubi.",309,30-34,40-42,180-220,mravi,Gnezdarica (oko 10 hiljada parova).,Prisutna tokom cele godine.,NE
68,Carduelis chloris,Zelentarka,,zebe (Fringillidae),zelentarka_m; zelentarka_z,zelentarka_z; zelentarka_m,Ptice pevacice,sikare i zbunjaci; njive; mesovita stanista; naselja,crna; zuta; siva; zelena,siva; zuta; crna,"Krupna pevačica zelenkasto-žućkastih tonova. Naseljava različita, mahom otvorena staništa sa gotovo obaveznim prisustvom četinara. Brojna i u naseljima. Tokom perioda gnežđenja mužjak izvodi spektakularne svadbene letove. Van perioda razmnožavanja sreće se u manjim jatima. Redovno posećuje hranilice.",301,"14,5-16",26,28,"semenje, pupoljci, cvetovi, bobice, voće, zglavkari",Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
215,Pyrrhula pyrrhula,Zimovka,,zebe (Fringillidae),zimovka_m; zimovka_z,zimovka_z; zimovka_m,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,crna; siva; crvena; bela,braon; crna; siva; bela; bez,"Šareni zimski gost ravnica, dok za gnežđenje naseljava brdsko-planinske šume, najčešće bukove.  Prepoznaćemo ih po crnoj kapi, beloj šari na krilima i belom podrepku, a najlakše po jarkocrvenoj boji mužjaka. Oglašava se kratko, tiho i neupadljivo.",247,"14,5-16,5",22-26,21-27,"semenje, pupoljci, insekti",Gnezdarica (oko 10 hiljada parova).,Prisutna tokom cele godine.,NE
204,Pluvialis apricaria,Zlatni vivak,,žalari (Charadriidae),zlatni_vivak_ng; zlatni_vivak_g,,Sljukarice i barske koke,travnjaci; vodena stanista,crna; bez; bela,,"Redak posetilac Srbije i to u periodu seobe, na poplavljenim livadama, praznim ribnjacima i drugim, sličnim staništima. Nalik istoimenom, češćem srodniku po silueti, ali šarenih, pegavih krila i bez ćube na glavi. U letu ga od srebrnog vivka razlikujemo po crnim ""pazusima"".",274,26-29,67-76,160-280,"crvi, insekti",Ne gnezdi se u Srbiji.,Prisutan na seobi.,DA
72,Circaetus gallicus,Zmijar,,orlovi i jastrebovi (Accipitridae),zmijar,,Dnevne grabljivice,"sume; travnjaci; mesovita stanista; kamenjari, litice i odseci",braon; bela,,"Jedinstvena i krupna grabljivica brdskih i planinskih delova Srbije. Obojenošću i tipičnim načinom leta prilikom lova dosta lako se raspoznaje. Gnezdi se mahom na borovima, a lovi na okolnim otvorenim terenima bogatim gmizavcima. Polaže po pravilu jedno jaje. U Srbiju se vraća tokom marta, a odlazi tokom septembra. Tokom sezone gnežđenja često se prodorno oglašava.",367,62-70,166-188,1200-2300,većinom zmije,Gnezdarica (manje od hiljadu parova).,Redovna i na seobi.,NE
33,Ardeola ralloides,Žuta čaplja,,čaplje (Ardeidae),zuta_caplja,,Capljolike ptice,vodena stanista,bez; crna; zuta; siva; bela; braon,,"Tipična selica među čapljama. Upadljivo žućkastih tonova i belih krila. U narodu poznata i kao ""danguba"" zbog svoje navike da i više sati stoji nepomično. Malobrojna gnezdarica močvarnih ravničarskih staništa.",209,42-47,80-92,230-370,"larve vodenih insekata, ribe, vodozemci i dr",Gnezdarica (oko hiljadu parova).,Redovna i na seobi.,NE
162,Motacilla flava,Žuta pliska,,pliske (Motacillidae),zuta_pliska_m; zuta_pliska_z,,Ptice pevacice,travnjaci; njive; mesovita stanista; vodena stanista,crna; zuta; siva; bela; zelena,,"Naseljava uglavnom vlažne livade i pašnjake, slatine i druge travnate površine, mozaične poljoprivredne predele. Uglavnom u nizijama, ali se sreće redovno i u brdsko-planinskim područjima. Odrasli mužjaci su lako prepoznatljivi po jarkožutom vratu, grudima, stomaku i podrepku, dok im je glava siva i uglavnom sa izraženom belom očnom prugom. Kao i ostale pliske, dosta vremena provodi na zemlji u potrazi za hranom. Selica je i zimu provodi u Africi. ",452,15-17,23-27,16-22,insekti,Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
225,Serinus serinus,Žutarica,,zebe (Fringillidae),zutarica_m; zutarica_z,zutarica_z; zutarica_m,Ptice pevacice,sikare i zbunjaci; mesovita stanista; naselja,zuta; siva; bela; zelena; crna,,"Mala i šarena živahna ptica brze pesme. Javlja se uglavnom u naseljima, vikend zonama i prirodnim staništima sa grupama četinara. Ženke su nešto zagasitijih boja od mužjaka. Gnezdi se na drveću. Uglavnom je selica, a u malom broju i prezimljava.",245,11-12,18-20,12-15,"semenje, pupoljci, sitni beskičmenjaci",Gnezdarica (do 100 hiljada parova).,"Redovna na seobi, zimuje u malom broju.",NE
131,Hippolais icterina,Žuti voljić,,grmuše (Sylviidae),zuti_voljic,,Ptice pevacice,sikare i zbunjaci; mesovita stanista,zelena; zuta; siva,,"Naseljava uglavnom proređene listopadne šume sa gustim podrastom. Teško je uočljiva ptica, sa sivozelenkastim leđima, glavom i krilima i svetložutim stomakom i grudima. Najčešće ćete ga registrovati preko melodičnog oglašavanja. Selica je i zimuje u tropskoj Africi.",266,"12,5-14",20-24,11-16,"insekti i drugi beskičmenjaci, voće i bobice",Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
260,Motacilla citreola,Žutoglava pliska,,pliske (Motacillidae),zutoglava_pliska,,Ptice pevacice,travnjaci; vodena stanista,crna; zuta; siva; bela,,"Tek nedavno po prvi put zabeležena na gnežđenju u Srbiji, ali i šire. Na seobi beležena izuzetno retko, ali može lako promaći među sličnim, potočnim i žutim pliskama. U gnezdećem periodu je od drugih pliski najlakše razlikujemo po žutoj glavi, po kojoj je i dobila ime.",269,"16,5-20",24-27,18-25,beskičmenjaci,Gnezdarica (nekoliko parova).,Sporadična na seobi.,NE
